[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
8.7 0 -0.947539 -0.498608 0.0669903 0.00849816 0.00997586 -5.16096e-05 0.135919 0.141263 0.130356 0.385308 
8.7 1 0.947545 0.498603 0.0670139 0.00849812 0.00997576 5.15475e-05 0.135919 0.141263 0.130356 0.3853 
8.8 0 -0.946946 -0.498581 0.06772 0.00852233 0.0100346 -4.68452e-05 0.136224 0.141676 0.130544 0.388556 
8.8 1 0.946952 0.498577 0.0677436 0.00852228 0.0100345 4.68002e-05 0.136223 0.141676 0.130544 0.38855 
8.9 0 -0.946841 -0.498486 0.0685183 0.00856164 0.0100981 -3.66575e-05 0.1366 0.142119 0.130849 0.390268 
8.9 1 0.946847 0.498482 0.0685418 0.00856158 0.010098 3.66273e-05 0.1366 0.142118 0.130849 0.390265 
9 0 -0.946985 -0.498578 0.0692197 0.00861739 0.0101533 -3.29761e-05 0.137006 0.142506 0.131276 0.389103 
9 1 0.946991 0.498574 0.0692432 0.00861731 0.0101532 3.29652e-05 0.137006 0.142506 0.131275 0.389104 
9.1 0 -0.946639 -0.498675 0.0699345 0.00866096 0.0102 -3.96126e-05 0.137335 0.142836 0.131605 0.388683 
9.1 1 0.946644 0.498671 0.0699578 0.00866086 0.0101999 3.96103e-05 0.137335 0.142835 0.131604 0.388686 
9.2 0 -0.946049 -0.498682 0.0706236 0.00869781 0.0102429 -3.92596e-05 0.137625 0.143135 0.131885 0.388616 
9.2 1 0.946054 0.498678 0.0706468 0.00869767 0.0102428 3.92586e-05 0.137624 0.143135 0.131884 0.388623 
9.3 0 -0.945709 -0.498629 0.071406 0.00872439 0.0103097 -2.93092e-05 0.137964 0.143598 0.13209 0.392254 
9.3 1 0.945715 0.498625 0.071429 0.00872425 0.0103096 2.9314e-05 0.137963 0.143598 0.132089 0.392264 
9.4 0 -0.944874 -0.498578 0.0720534 0.00875438 0.0103482 -2.15815e-05 0.138212 0.143865 0.132318 0.39252 
9.4 1 0.944879 0.498575 0.0720762 0.00875422 0.0103482 2.15882e-05 0.138211 0.143864 0.132317 0.392534 
9.5 0 -0.944037 -0.498543 0.0729541 0.0087781 0.0103939 -1.65564e-05 0.138463 0.144181 0.132499 0.394318 
9.5 1 0.944043 0.498539 0.0729766 0.00877792 0.0103939 1.65545e-05 0.138462 0.144181 0.132497 0.394339 
9.6 0 -0.943446 -0.498599 0.0737286 0.00881759 0.0104315 -2.00045e-05 0.138741 0.144442 0.132796 0.393396 
