,id,bubble_lifetime,bubble_radius,d1_radius,d1_velocity,t_d1,ndrops,solution,delta_gamma_infinity,beta,delta_gamma_infinity_tanh,beta_tanh,surface_tension,clean_surface_tension,bo,la,lad1,ca,t_d1_over_tcap
29,250320_153947,7.05,0.0009891249855084,9.817983648641689e-05,1.799145420627864,0.0027,1.0,0gly_10tx,0.58,0.4192306002828689,0.52,0.313479381311596,0.0488841,0.072,0.13433934590623497,74625.53160586579,7407.276732586004,0.024505528524390016,0.7336198384617977
30,250320_134618,1.625,0.001021273591913001,7.441410411632942e-05,3.0084201288877286,0.0021,6.0,0gly_1tx,0.58,0.1546787064672686,0.52,0.1309419212872249,0.0614343,0.072,0.14321387269196448,77051.01562303273,5614.247097196768,0.04097663503825031,0.5438638628598993
31,250320_134718,1.65,0.0009891249855084,7.118608377038336e-05,3.1441026894049235,0.002,7.0,0gly_1tx,0.58,0.1546787064672686,0.52,0.1309419212872249,0.0614343,0.072,0.13433934590623497,74625.53160586579,5370.705848234222,0.04282471958933459,0.5434221025642946
32,250320_134822,1.65,0.001021273591913001,6.818160251274136e-05,3.2252324566876425,0.002,6.0,0gly_1tx,0.58,0.1546787064672686,0.52,0.1309419212872249,0.0614343,0.072,0.14321387269196448,77051.01562303273,5144.0297311243585,0.0439297596842203,0.5179655836760947
33,250320_134920,1.575,0.001021273591913001,7.34896694195889e-05,3.121985531534872,0.002,6.0,0gly_1tx,0.58,0.1546787064672686,0.52,0.1309419212872249,0.0614343,0.072,0.14321387269196448,77051.01562303273,5544.502189637172,0.042523469542035,0.5179655836760947
34,250320_135020,1.65,0.0009891249855084,7.458616007807724e-05,3.0102461487700807,0.0019999999999999,6.0,0gly_1tx,0.58,0.1546787064672686,0.52,0.1309419212872249,0.0614343,0.072,0.13433934590623497,74625.53160586579,5627.228032669538,0.04100150661438864,0.5434221025642674
35,250320_135119,1.625,0.0009891249855084,6.979192584936364e-05,3.221092367997488,0.002,7.0,0gly_1tx,0.58,0.1546787064672686,0.52,0.1309419212872249,0.0614343,0.072,0.13433934590623497,74625.53160586579,5265.522198520683,0.04387336898876741,0.5434221025642946
36,250320_135222,1.625,0.0009891249855084,7.04014738928471e-05,3.244689560578973,0.0018999999999999,7.0,0gly_1tx,0.58,0.1546787064672686,0.52,0.1309419212872249,0.0614343,0.072,0.13433934590623497,74625.53160586579,5311.510165108028,0.04419477806958496,0.5162509974360526
37,250320_135313,1.525,0.0009891249855084,6.717144885418212e-05,3.3246973207906616,0.0019,6.0,0gly_1tx,0.58,0.1546787064672686,0.52,0.1309419212872249,0.0614343,0.072,0.13433934590623497,74625.53160586579,5067.8176700825,0.04528453569982469,0.5162509974360798
38,250320_135418,1.725,0.0009891249855084,7.190274026482321e-05,3.310843517719153,0.002,5.0,0gly_1tx,0.58,0.1546787064672686,0.52,0.1309419212872249,0.0614343,0.072,0.13433934590623497,74625.53160586579,5424.77471987321,0.04509583790894703,0.5434221025642946
