[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0.65 19 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.65 20 -1.83962 3.87829 -0.354386 0.0117498 0.0203495 0.0119324 0.179163 0.239721 0.0820512 0.939599 
0.65 21 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.65 22 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.65 23 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.65 24 112.771 1.27946 1.97947 0.0556632 0.0577156 0.000770253 0.336718 0.340507 0.332885 0.210393 
0.65 25 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.65 26 -17.1312 2.44481 3.27063 0.257562 0.110178 -0.116465 0.606415 0.802111 0.303475 0.925664 
0.65 27 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 1 -5.01823 -0.168876 0.165278 0.128535 0.053356 0.0211578 0.426487 0.517842 0.309227 0.802133 
0.7 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 3 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 4 137.619 -0.488445 -1.3649 0.0559056 0.0541591 0.00122511 0.33176 0.336264 0.327194 0.230699 
0.7 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 7 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 8 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 9 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 10 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 11 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 12 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.7 13 -0.100546 -0.200165 -0.275468 0.00599405 0.000377349 -0.000929318 0.0798211 0.11085 0.0213345 0.981304 
0.7 14 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
