[1]t	 [2]tag	 [3]Atot	 [4]Gamma	 [5]mu_x	 [6]mu_y	 [7]mu_z	 [8]M20	 [9]M02	 [10]M11	 [11]a	 [12]b	 [13]c	 [14]e	 [15]maxvor 
14.35 2 62.4276123046875 0.000429894560473747 54.3187078487589 -54.1806973102957 -0.01060485883721 -2946.71731545659 -2934.26780433234 2939.85109535016 -nan -nan -nan -nan 1e+30 
14.4 0 0.783935546875 1.00054605646142 -0.1772965056052 -0.472001633240424 3.77295179152628e-07 0.00582358939661402 0.00621989529776791 0.000142434177979967 0.109742811584094 0.111944408613211 0.107496133739787 0.279094858237123 18.1762552498888 
14.4 1 0.7850341796875 1.00026292273434 0.162525390536786 0.468372304764842 -4.45212644208778e-07 0.00560141456459186 0.00586664133693719 8.70495734745735e-05 0.107089009247117 0.108560208230353 0.105597315269094 0.232035258040351 18.1114618707258 
14.4 2 62.4310302734375 0.000501314993224674 46.9078527291688 -46.5888283239874 -0.0389985809672088 -2196.38530833506 -2168.45753333442 2182.54573617738 -nan 0.581352274057803 -nan -nan 1e+30 
14.45 0 0.7843017578125 1.00053855529489 -0.170204958101486 -0.474537661509862 2.85471001833726e-07 0.00582317010603031 0.00622942405145468 0.000138324191432322 0.109784307428179 0.112000440081894 0.107522508045675 0.279936148461794 18.1501720699371 
14.45 1 0.7874755859375 1.00026289863847 0.155361382633969 0.470858683027146 -3.51147946377716e-07 0.0055961447439686 0.00586368860680668 8.23303139258019e-05 0.107050611164884 0.108508006700862 0.105573098767423 0.231006725948003 18.0626781325513 
14.45 2 62.42822265625 0.00036956772070124 63.394813265407 -63.5500783586424 -0.0475126216378461 -4015.06527667117 -4038.07027200773 4025.76090079969 -nan -nan -nan -nan 1e+30 
14.5 0 0.7862548828125 1.00054405987685 -0.163074257451605 -0.476969885757806 3.93962142753415e-07 0.00582699501728847 0.0062382853863437 0.000135288589785212 0.109842070281073 0.112060666991458 0.107577728739242 0.280015651431604 18.1767499619873 
14.5 1 0.7830810546875 1.00025096550191 0.148168368370916 0.473239421165367 -4.35059622402982e-07 0.00558928889711745 0.00585991429807241 7.67058892722198e-05 0.10700094950602 0.108444858050502 0.105537287973428 0.230009037227164 18.0920013377135 
14.5 2 62.4306640625 0.000417331596195232 56.5536557575995 -56.3984487233491 -0.0473409880515835 -3195.20496272981 -3179.49376421672 3186.60189594619 -nan -nan -nan -nan 1e+30 
14.55 0 0.7855224609375 1.0005538226004 -0.155913280339048 -0.479290420133364 3.97399267223758e-07 0.00582621119793067 0.00625215755667011 0.000133374242993262 0.109901632174417 0.112164821409018 0.107590846950308 0.28265732293598 18.116810836101 
14.55 1 0.782958984375 1.00025708238507 0.140935849527601 0.475511296838436 -3.05208552980503e-07 0.00558539588191706 0.00585668271904471 7.09489763918865e-05 0.10696765212419 0.108389274066687 0.105526880315966 0.228296982459903 18.0451539970775 
14.55 2 62.4315185546875 0.000408416348885342 57.7841797732665 -57.9997059493249 -0.0227790029104641 -3335.4405939214 -3362.52878962669 3347.98557336651 -nan -nan -nan -nan 1e+30 
14.6 0 0.78564453125 1.00057960707457 -0.148716691791477 -0.481499181398845 5.16269488550679e-07 0.00582898811206982 0.00626622210574887 0.000127727053049217 0.109978226107801 0.11225684726179 0.107651384935265 0.283494423064978 18.1412454619273 
14.6 1 0.7818603515625 1.00026497346066 0.1336767242463 0.477679182354808 -1.7560841704984e-07 0.0055808867848399 0.00585538446226052 6.48075961844537e-05 0.106940503304877 0.108350504867136 0.105511660915927 0.227408556364611 18.066325715904 
14.6 2 62.4324951171875 0.000392336058846233 60.3038712848721 -61.0595107928822 -0.0079077866106638 -3632.79788305533 -3726.58983413437 3679.42477015059 -nan 0.243946309989848 -nan -nan 1e+30 
14.65 0 0.7845458984375 1.00058060400119 -0.141495406025166 -0.483601690613213 5.7926585751741e-07 0.0058293150993178 0.00627719505938186 0.000123549216709189 0.11002958765123 0.112330011624467 0.107680029744825 0.284741702743901 18.0661640865529 
14.65 1 0.7855224609375 1.00026819912675 0.126383614225284 0.479730434899791 -2.08231771391324e-07 0.00557663159967361 0.00585271770405712 6.00269234751229e-05 0.106908134880984 0.10830700903884 0.105490712389869 0.226560488639231 18.0068692732352 
14.65 2 62.429931640625 0.000323305882352178 73.6313973505283 -73.730627111646 0.0139359440396802 -5416.61697133674 -5434.64207859105 5424.46214027681 -nan -nan -nan -nan 1e+30 
14.7 0 0.784423828125 1.00061814050053 -0.134234433475502 -0.485587693552457 5.60384261086952e-07 0.0058328227840351 0.00629331670038682 0.000118501113846304 0.110118751738393 0.112445736375189 0.107741520965157 0.286217838881398 18.0774754270939 
14.7 1 0.7872314453125 1.00025126248257 0.119067240185039 0.48168158140747 -3.15086700371449e-07 0.005570369804882 0.00584816732088798 5.32757911601061e-05 0.106857555305041 0.108240787746003 0.105456181040585 0.225366919777171 18.0116679015295 
