[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]mu_z	 [7]M20	 [8]M02	 [9]M11	 [10]a	 [11]b	 [12]c	 [13]e 
0.8 2 0.201679 0.000482937 6.95265 1.9744 0.0041366 0.000388692 -1.28803e-06 0.0672703 0.0909572 0.0278816 0.951859 
0.82 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.82 1 0.79945 -0.000271997 7.11705 0.904455 0.00436342 0.00445229 -1.01941e-05 0.093892 0.0943763 0.0934052 0.143086 
0.82 2 0.189819 0.0010149 6.95684 1.97421 0.00386298 0.000390772 4.9067e-05 0.0652208 0.0879054 0.0279313 0.948177 
0.84 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.84 1 0.8034 0.00011965 7.11596 0.908653 0.0043607 0.0045418 -8.91261e-06 0.0943531 0.0953126 0.0933838 0.200159 
0.84 2 0.173439 0.00108779 6.96379 1.97471 0.00339497 0.000385079 4.22949e-05 0.0614821 0.0824084 0.0277303 0.941684 
0.86 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.86 1 0.796944 -7.93402e-06 7.11488 0.911132 0.00438814 0.00443578 -2.313e-06 0.0939357 0.0941902 0.0936806 0.103882 
0.86 2 0.162243 0.000512738 6.96757 1.97568 0.00323643 0.000372574 -3.02461e-05 0.060075 0.0804581 0.0272857 0.94074 
0.88 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.88 1 0.799914 0.000114223 7.11166 0.91409 0.00443196 0.00449115 -6.93969e-05 0.0944622 0.0952576 0.0936601 0.182367 
0.88 2 0.156186 0.000537418 6.96847 1.97583 0.00325125 0.000370385 -2.52772e-05 0.0601801 0.0806409 0.0272089 0.941358 
0.9 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.9 1 0.793857 -6.75795e-06 7.10875 0.917615 0.00434625 0.00451583 -8.03731e-06 0.0941386 0.095039 0.0932296 0.194206 
0.9 2 0.145124 0.00128421 6.96715 1.97694 0.00322798 0.000353431 4.26232e-05 0.0598449 0.0803569 0.0265631 0.943784 
0.92 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.92 1 0.792664 -1.35304e-05 7.10664 0.920687 0.00432878 0.00453641 -1.24424e-06 0.0941551 0.0952515 0.0930459 0.21395 
0.92 2 0.139199 0.00131386 6.96809 1.97712 0.00324481 0.000350586 4.73609e-05 0.0599616 0.0805678 0.0264504 0.944574 
0.94 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.94 1 0.795891 -0.00011683 7.10476 0.922174 0.0044346 0.00452393 -1.04027e-05 0.0946495 0.0951328 0.0941637 0.142369 
0.94 2 0.123663 0.00141449 6.96866 1.97955 0.0032175 0.000303929 6.79387e-05 0.0593416 0.0802382 0.0245905 0.951881 
0.96 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.96 1 0.798688 4.00388e-06 7.10286 0.923639 0.0045386 0.00450745 -1.58744e-05 0.0951107 0.0953442 0.0948766 0.0989173 
0.96 2 0.113511 0.000601072 6.9721 1.98104 0.00321901 0.000269454 -4.95869e-06 0.0590632 0.0802374 0.023214 0.957233 
0.98 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.98 1 0.800995 -9.9605e-05 7.10095 0.925311 0.00463916 0.00449572 -5.16163e-05 0.0955765 0.0964966 0.0946475 0.194828 
0.98 2 0.103807 0.00159798 6.97776 1.98079 0.00286791 0.000275617 4.17796e-05 0.0560672 0.0757441 0.0234497 0.95087 
1 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1 1 0.80762 -0.000100389 7.09819 0.928586 0.00472003 0.00460062 -5.15325e-05 0.0965435 0.097357 0.0957231 0.182434 
1 2 0.0896311 0.00397292 6.9792 1.98445 0.00314044 0.000174201 3.03395e-05 0.0575729 0.0792559 0.0186489 0.971923 
1.02 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.02 1 0.810165 -0.000227403 7.09528 0.933762 0.00462958 0.00481364 -3.20996e-05 0.0971762 0.0981741 0.096168 0.201125 
1.02 2 0.0713606 0.000573475 6.98804 1.98926 0.00288759 4.93038e-32 3.69577e-31 0.0537363 0.0759947 0 1 
1.04 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.04 1 0.818177 0.000242329 7.09514 0.93856 0.00462763 0.00498637 -2.13626e-05 0.098051 0.0998763 0.0961911 0.269134 
1.04 2 0.0637314 0.00216587 6.98243 1.98926 0.00251112 0 0 0.0501111 0.0708678 0 1 
1.06 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.06 1 0.830218 -0.000112523 7.091 0.941569 0.00487728 0.00497618 2.68352e-05 0.0992646 0.0998298 0.0986962 0.150272 
1.06 2 0.0609461 0.00223117 6.98314 1.98926 0.00251507 4.93038e-32 3.09093e-31 0.0501505 0.0709235 0 1 
1.08 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.08 1 0.824323 0.000218826 7.0877 0.94587 0.00481968 0.00496451 -2.49453e-05 0.0989151 0.0996864 0.0981377 0.175583 
1.08 2 0.0581888 0.0022976 6.98385 1.98926 0.00251836 0 0 0.0501833 0.0709699 0 1 
1.1 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.1 1 0.805174 0.00022359 7.08406 0.949092 0.00459812 0.00487549 8.25817e-05 0.0973325 0.098977 0.0956598 0.256721 
1.1 2 0.0508134 0.000704813 6.97627 1.98926 0.00193107 4.93038e-32 2.78817e-31 0.0439439 0.0621461 0 1 
1.12 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.12 1 0.800358 0.000119716 7.08268 0.952284 0.00453357 0.00487544 0.000122914 0.097 0.0991468 0.0948047 0.292697 
1.12 2 0.0437118 0.00292984 6.9836 1.98926 0.00163403 0 0 0.0404232 0.057167 0 1 
1.14 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.14 1 0.799676 0.000107302 7.08193 0.955505 0.0045681 0.00483774 0.000216464 0.0969837 0.0995785 0.0943176 0.320737 
1.14 2 0.0368883 0.00070569 6.99317 1.98926 0.00108448 0 0 0.0329314 0.046572 0 1 
1.16 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.16 1 0.803346 -0.000242861 7.0798 0.959175 0.00468398 0.00481031 8.91872e-05 0.0974386 0.0985539 0.0963105 0.212149 
1.16 2 0.0350663 0.000733757 6.99345 1.98926 0.00108421 1.97215e-31 -1.92229e-32 0.0329274 0.0465663 0 1 
1.18 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.18 1 0.811746 -1.55206e-05 7.07761 0.961882 0.00476607 0.00489649 -2.79001e-05 0.0982983 0.0990173 0.0975741 0.17011 
1.18 2 0.0332637 0.000762644 6.99374 1.98926 0.00108391 1.97215e-31 2.70677e-31 0.0329228 0.0465599 0 1 
1.2 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
