[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]mu_z	 [7]M20	 [8]M02	 [9]M11	 [10]a	 [11]b	 [12]c	 [13]e 
1.22 0 0.772508 6.5379 0.000117431 0.441843 0.00460267 0.00482227 9.51501e-05 0.0970822 0.0985674 0.0955739 0.244576 
1.22 1 0.807036 7.47479 0.000225736 0.0290151 0.00498776 0.00467214 0.000168747 0.0982848 0.100608 0.0959053 0.302163 
1.24 0 0.775391 6.53952 2.02478e-05 0.447635 0.0045171 0.00500207 7.17129e-05 0.0975662 0.100124 0.0949391 0.31764 
1.24 1 0.814851 7.47329 0.000222404 0.0303607 0.00507595 0.00476311 0.000113241 0.0991921 0.10112 0.0972258 0.274848 
1.26 0 0.774204 6.54119 -3.09754e-05 0.454189 0.0044237 0.00508299 -5.07553e-05 0.0975022 0.100865 0.0940193 0.362124 
1.26 1 0.817841 7.4729 0.00011141 0.0315124 0.0050559 0.0048713 0.000123019 0.0996353 0.101167 0.0980796 0.245166 
1.28 0 0.777832 6.54117 0.000130914 0.461178 0.00459492 0.00503842 -0.000123526 0.0981496 0.100703 0.0955284 0.316419 
1.28 1 0.825815 7.47163 0.000119043 0.0333377 0.00507954 0.00502189 2.67674e-05 0.100506 0.100896 0.100114 0.124322 
1.3 0 0.782353 6.54167 9.02584e-06 0.469537 0.00480013 0.0049106 -0.000127011 0.098543 0.0999386 0.0971273 0.235519 
1.3 1 0.829281 7.47052 5.55043e-07 0.034329 0.00512331 0.0050694 -4.31816e-05 0.100959 0.101462 0.100453 0.140637 
1.32 0 0.78534 6.54276 8.4918e-05 0.475356 0.00481251 0.00497748 -6.88437e-05 0.0989444 0.100024 0.0978525 0.207257 
1.32 1 0.836844 7.46846 -6.28137e-07 0.0341065 0.00530382 0.0050544 4.1157e-05 0.101775 0.103058 0.100477 0.222393 
1.34 0 0.779458 6.54396 2.55785e-06 0.482384 0.00470262 0.00505929 -0.000125384 0.0988024 0.100985 0.0965707 0.292418 
1.34 1 0.835575 7.46795 -2.00014e-06 0.0344618 0.00530956 0.00506187 4.11756e-05 0.10184 0.103114 0.100551 0.22158 
1.36 0 0.773441 6.54514 -0.000115239 0.489331 0.00452934 0.00514256 -0.000151118 0.0983458 0.101762 0.0948063 0.363369 
1.36 1 0.834251 7.46744 -3.41145e-06 0.0348175 0.00531473 0.00506892 4.13288e-05 0.1019 0.103165 0.10062 0.220756 
1.38 0 0.776016 6.5457 -2.95198e-05 0.495081 0.00456164 0.00518503 -5.56e-05 0.0987252 0.101882 0.0954643 0.349299 
1.38 1 0.832857 7.46692 -4.85269e-06 0.0351752 0.00531942 0.00507568 4.16171e-05 0.101956 0.103212 0.100685 0.219899 
1.4 0 0.774804 6.54634 6.97104e-06 0.502812 0.00462008 0.00514843 7.30491e-05 0.0988357 0.101571 0.0960225 0.325991 
1.4 1 0.827535 7.4641 0.000110447 0.0352222 0.00525425 0.00508482 -0.000112272 0.101681 0.103055 0.100288 0.230157 
1.42 0 0.778197 6.54787 0.000139264 0.509054 0.00485025 0.00500672 3.16172e-05 0.0992823 0.100129 0.0984287 0.183483 
1.42 1 0.835466 7.46244 0.000108657 0.0367947 0.0053325 0.00518046 -0.000211718 0.102533 0.104704 0.100315 0.286492 
1.44 0 0.782113 6.54864 -1.70929e-05 0.516543 0.00500509 0.0049441 -0.000137482 0.0997456 0.101148 0.0983237 0.234645 
1.44 1 0.834246 7.46188 0.000109722 0.0371968 0.00533709 0.00518741 -0.000212028 0.102589 0.104758 0.100373 0.286279 
1.46 0 0.793603 6.5504 0.000120965 0.52326 0.00503611 0.00519259 -0.000186394 0.101137 0.103116 0.0991181 0.275764 
1.46 1 0.83325 7.46024 -0.000108841 0.0387148 0.00524474 0.00529291 -0.000213761 0.102653 0.104728 0.100536 0.280093 
1.48 0 0.792671 6.55334 0.000106914 0.530084 0.00508303 0.00514478 -0.000142704 0.101133 0.102566 0.0996785 0.235619 
1.48 1 0.83207 7.45968 -0.000108312 0.0391335 0.00524848 0.00530007 -0.000214431 0.102706 0.104788 0.100581 0.280494 
1.5 0 0.803841 6.55471 -1.9835e-05 0.535717 0.00511439 0.00534418 -7.00419e-05 0.102267 0.103575 0.100943 0.223992 
1.5 1 0.822175 7.45799 -0.000111294 0.0406212 0.0051658 0.00523552 -0.000118605 0.101987 0.103192 0.100767 0.215492 
1.52 0 0.797643 6.55593 -0.000130741 0.54222 0.00518215 0.00519822 0.000104591 0.101884 0.102909 0.100849 0.19905 
1.52 1 0.8252 7.45779 -6.38399e-06 0.0417596 0.00516672 0.00531979 -6.89105e-05 0.102404 0.103404 0.101393 0.196279 
1.54 0 0.788693 6.55788 -0.000320682 0.549136 0.00528564 0.00496809 -1.76735e-05 0.101261 0.102826 0.0996705 0.245843 
1.54 1 0.823983 7.45725 -5.40686e-06 0.0421748 0.00516978 0.00532618 -6.89741e-05 0.10245 0.103463 0.101427 0.197393 
1.56 0 0.7832 6.55779 -0.000200283 0.556001 0.00525786 0.00493137 -7.73823e-05 0.100942 0.102716 0.0991358 0.26171 
1.56 1 0.818374 7.45634 0.000103474 0.0433563 0.00517389 0.00524882 -1.56984e-05 0.102092 0.102489 0.101693 0.124374 
1.58 0 0.786979 6.55922 0.000350753 0.562331 0.00530423 0.00498157 -0.000127613 0.101419 0.103427 0.09937 0.277338 
1.58 1 0.82123 7.45615 -1.8305e-06 0.0444784 0.00517445 0.00532859 3.44603e-05 0.102484 0.103305 0.101657 0.177886 
1.6 0 0.812038 6.56095 0.000309901 0.570897 0.00540867 0.00534958 -0.000125925 0.103722 0.104962 0.102467 0.216707 
1.6 1 0.819865 7.45561 -3.57983e-06 0.0448928 0.00517605 0.00533466 3.52671e-05 0.102522 0.103365 0.101672 0.180261 
1.62 0 0.81866 6.56211 8.38303e-05 0.575448 0.00548196 0.00542584 -0.000128723 0.10444 0.105694 0.103171 0.217193 
1.62 1 0.818411 7.45506 -5.37394e-06 0.0453091 0.00517714 0.00534036 3.62587e-05 0.102555 0.103422 0.10168 0.182745 
1.64 0 0.809142 6.56389 -0.000323472 0.581277 0.00541931 0.00534856 -0.000127725 0.103768 0.105038 0.102483 0.219204 
1.64 1 0.821437 7.45377 0.000106917 0.0462716 0.00524719 0.0053689 -3.48689e-05 0.103034 0.103713 0.102351 0.161498 
1.66 0 0.790146 6.56462 -0.000155517 0.586778 0.00528272 0.00515956 -0.00012824 0.102187 0.10357 0.100786 0.230323 
1.66 1 0.819915 7.45321 0.000108157 0.046704 0.00524839 0.00537399 -3.48415e-05 0.103065 0.103759 0.102366 0.163352 
1.68 0 0.784741 6.56578 1.1345e-05 0.59417 0.00535917 0.00504859 -7.43951e-05 0.102018 0.103693 0.100316 0.253098 
1.68 1 0.823333 7.4508 2.90703e-06 0.0490192 0.00528884 0.00544027 -0.000107953 0.103581 0.104847 0.102301 0.219043 
1.7 0 0.780713 6.56711 0.000347056 0.602623 0.0053257 0.00501254 -1.82975e-05 0.101677 0.103216 0.100115 0.243292 
1.7 1 0.822465 7.44894 -0.000209056 0.0503695 0.00520448 0.00553929 -0.000152904 0.103652 0.105817 0.101441 0.284593 
1.72 0 0.801376 6.56745 0.000211473 0.610975 0.00534361 0.00538815 1.57256e-05 0.103594 0.103857 0.103331 0.100551 
1.72 1 0.81288 7.44693 9.13645e-07 0.0515799 0.00505484 0.00553107 -6.30592e-05 0.102888 0.105255 0.100465 0.298222 
1.74 0 0.799986 6.56932 -1.72186e-06 0.615382 0.0052532 0.00548096 1.06957e-05 0.103606 0.104704 0.102496 0.20429 
1.74 1 0.811845 7.44471 2.81149e-06 0.0520463 0.00506538 0.00553531 -8.30484e-05 0.10296 0.105352 0.10051 0.299688 
1.76 0 0.798899 6.56996 -1.78726e-05 0.620798 0.00526124 0.00548402 -0.000184692 0.103659 0.10572 0.101557 0.277831 
1.76 1 0.810891 7.44248 9.50489e-07 0.052516 0.00507097 0.00553792 -0.00010134 0.102999 0.105442 0.100498 0.302607 
1.78 0 0.793015 6.57248 8.3883e-05 0.627194 0.00532958 0.00535587 -0.000121076 0.10337 0.104542 0.102186 0.211125 
1.78 1 0.813853 7.44111 0.000100026 0.0528266 0.00518084 0.00551792 -7.74224e-05 0.103435 0.105213 0.101626 0.258882 
1.8 0 0.791933 6.57408 -0.000101971 0.635406 0.00550246 0.00518969 -6.00816e-05 0.103403 0.105011 0.10177 0.246514 
1.8 1 0.812665 7.4395 -0.000106741 0.0539254 0.00530515 0.00540111 -1.6364e-05 0.103471 0.10396 0.10298 0.136975 
1.82 0 0.786859 6.57564 1.51198e-05 0.640408 0.00540698 0.00522338 -0.00013561 0.103104 0.10468 0.101503 0.244494 
1.82 1 0.811623 7.4389 -0.000107067 0.0543767 0.00531233 0.00540278 -1.6729e-05 0.103514 0.103979 0.103047 0.133572 
1.84 0 0.794839 6.57662 0.00020286 0.647851 0.00530751 0.00549481 -0.000216566 0.103934 0.10618 0.101639 0.28933 
1.84 1 0.810864 7.43763 -9.7541e-05 0.0558448 0.0054429 0.00529288 -8.28715e-05 0.103614 0.104687 0.102529 0.201984 
1.86 0 0.797322 6.57546 -0.000129022 0.65457 0.00525708 0.00562373 -0.000179854 0.104311 0.106745 0.101819 0.300258 
1.86 1 0.809953 7.43594 -9.96415e-05 0.0573495 0.00556677 0.00517479 -8.11651e-05 0.103641 0.105668 0.101574 0.275667 
1.88 0 0.787968 6.57856 -8.81267e-05 0.661069 0.00517604 0.00557245 -0.000107145 0.103675 0.105826 0.101478 0.283679 
1.88 1 0.808906 7.4353 -0.0001011 0.0578028 0.00557513 0.00517521 -8.11378e-05 0.103684 0.105745 0.101581 0.277839 
1.9 0 0.786876 6.58047 -0.00011147 0.667702 0.00509331 0.00562739 -4.63723e-05 0.103541 0.106126 0.100889 0.310255 
1.9 1 0.807746 7.43465 -0.000102584 0.0582586 0.00558291 0.00517517 -8.08439e-05 0.103721 0.105815 0.101585 0.279912 
