[1]t	 [2]ekin	 [3]enstrophy	 [4]helicity 
14.120000 981.585857 3725.23359 34.708287 
14.140000 981.55817 3723.31097 34.7074373 
14.160000 981.530501 3721.39157 34.7066048 
14.180000 981.502772 3719.47535 34.7057413 
14.200000 981.475112 3717.56231 34.7049173 
14.220000 981.447554 3715.65247 34.7040977 
14.240000 981.419961 3713.74579 34.7032553 
14.260000 981.392426 3711.8423 34.7024443 
14.280000 981.364835 3709.94193 34.7016163 
14.300000 981.337378 3708.04471 34.7007563 
14.320000 981.309878 3706.15063 34.6999622 
14.340000 981.282526 3704.25969 34.6991535 
14.360000 981.255092 3702.37188 34.6983438 
14.380000 981.227771 3700.4872 34.6975017 
14.400000 981.200407 3698.60561 34.6966641 
14.420000 981.173036 3696.72711 34.695818 
14.440000 981.145764 3694.85169 34.6949721 
14.460000 981.118549 3692.97934 34.6941168 
14.480000 981.091292 3691.11009 34.6932699 
14.500000 981.064109 3689.24391 34.6924155 
14.520000 981.036908 3687.38076 34.6915514 
14.540000 981.009841 3685.52069 34.6907115 
14.560000 980.982658 3683.6637 34.6898753 
14.580000 980.955547 3681.80975 34.6889849 
14.600000 980.928499 3679.95884 34.6881607 
14.620000 980.901492 3678.11097 34.6873034 
14.640000 980.874486 3676.26614 34.6864235 
14.660000 980.847528 3674.4244 34.6855672 
14.680000 980.820576 3672.58564 34.6847127 
14.700000 980.793689 3670.74988 34.6838607 
14.720000 980.766825 3668.91718 34.6830385 
14.740000 980.739992 3667.08748 34.6822247 
14.760000 980.713169 3665.26078 34.6813814 
14.780000 980.68639 3663.43709 34.6804983 
14.800000 980.659623 3661.61636 34.679659 
14.820000 980.632851 3659.79857 34.6788094 
14.840000 980.606106 3657.98378 34.6780159 
14.860000 980.579429 3656.17198 34.6771652 
14.880000 980.552793 3654.36316 34.6763612 
14.900000 980.526138 3652.55726 34.6755038 
14.920000 980.499569 3650.75432 34.6746204 
14.940000 980.472974 3648.9543 34.6738327 
14.960000 980.446398 3647.15725 34.6729718 
14.980000 980.419842 3645.3631 34.6720963 
15.000000 980.393339 3643.57191 34.6712819 
15.020000 980.369399 3641.96337 34.6706191 
15.040000 980.344257 3640.28843 34.6700116 
15.060000 980.318802 3638.5851 34.6692799 
15.080000 980.29324 3636.86975 34.6685067 
15.100000 980.267737 3635.15698 34.6678097 
15.120000 980.242282 3633.44691 34.667 
15.140000 980.216904 3631.73955 34.6662385 
15.160000 980.191507 3630.03487 34.6654598 
15.180000 980.166123 3628.33288 34.6646695 
15.200000 980.140657 3626.63356 34.663921 
15.220000 980.115388 3624.9369 34.6631722 
15.240000 980.089999 3623.24296 34.6624003 
15.260000 980.064644 3621.55171 34.6616324 
15.280000 980.03935 3619.86313 34.6608689 
15.300000 980.014078 3618.17724 34.6601067 
15.320000 979.988872 3616.49404 34.6593639 
15.340000 979.963715 3614.81352 34.6585918 
15.360000 979.938501 3613.13566 34.6577998 
15.380000 979.913345 3611.46045 34.6570596 
15.400000 979.888218 3609.78795 34.6562849 
15.420000 979.863078 3608.11809 34.6555455 
15.440000 979.837985 3606.45089 34.6547684 
15.460000 979.812883 3604.78635 34.6539631 
15.480000 979.787863 3603.1245 34.6531732 
15.500000 979.76276 3601.46528 34.6523793 
15.520000 979.737812 3599.80871 34.6516557 
15.540000 979.712831 3598.15477 34.6509203 
15.560000 979.687828 3596.50344 34.6501818 
15.580000 979.662883 3594.85473 34.6493537 
15.600000 979.637982 3593.20863 34.6485789 
15.620000 979.613044 3591.56513 34.6478091 
15.640000 979.588174 3589.92422 34.6470353 
15.660000 979.563366 3588.28592 34.646291 
15.680000 979.53845 3586.65018 34.6455117 
15.700000 979.513692 3585.01702 34.6447068 
15.720000 979.488897 3583.38642 34.6439682 
15.740000 979.464132 3581.75838 34.6431928 
15.760000 979.439395 3580.13288 34.642446 
15.780000 979.414615 3578.50993 34.6416464 
15.800000 979.389926 3576.88954 34.6408597 
15.820000 979.365255 3575.27167 34.6400913 
15.840000 979.340595 3573.65633 34.6393102 
15.860000 979.315859 3572.04353 34.638497 
15.880000 979.291295 3570.43325 34.6377246 
15.900000 979.266739 3568.82546 34.6369734 
15.920000 979.242176 3567.22018 34.6361731 
15.940000 979.21758 3565.6174 34.63539 
15.960000 979.193074 3564.01712 34.6345883 
15.980000 979.168602 3562.4193 34.633824 
16.000000 979.144092 3560.82396 34.633039 
16.020000 979.119666 3559.23108 34.6322596 
16.040000 979.095194 3557.64067 34.6315288 
16.060000 979.070766 3556.05272 34.6307585 
16.080000 979.046385 3554.46723 34.6299881 
16.100000 979.022003 3552.8842 34.6292154 
16.120000 978.997706 3551.31043 34.6285726 
16.140000 978.974085 3549.7882 34.6280594 
16.160000 978.950133 3548.24714 34.6274739 
16.180000 978.925051 3546.61465 34.626607 
16.200000 978.901179 3545.08108 34.6259725 
16.220000 978.87584 3543.43981 34.6251028 
16.240000 978.851027 3541.82952 34.6242308 
16.260000 978.827265 3540.30232 34.6235609 
16.280000 978.802013 3538.66883 34.6227035 
16.300000 978.777091 3537.0542 34.621814 
16.320000 978.752136 3535.44061 34.6209255 
16.340000 978.727153 3533.82964 34.6200684 
16.360000 978.702535 3532.23316 34.6191668 
16.380000 978.678825 3530.72023 34.6185246 
16.400000 978.653746 3529.10208 34.6176223 
16.420000 978.628928 3527.5026 34.6167447 
16.440000 978.604115 3525.90417 34.6158883 
16.460000 978.579363 3524.30835 34.615002 
16.480000 978.554541 3522.71508 34.6141438 
16.500000 978.529882 3521.12432 34.6132399 
16.520000 978.505116 3519.53609 34.6123631 
16.540000 978.480422 3517.95041 34.6115059 
16.560000 978.455791 3516.36725 34.6105604 
16.580000 978.431183 3514.78661 34.6096796 
16.600000 978.406569 3513.20848 34.6088051 
16.620000 978.381946 3511.63286 34.6079148 
16.640000 978.357409 3510.05977 34.6069989 
16.660000 978.332858 3508.48922 34.6061116 
16.680000 978.308389 3506.92118 34.6052052 
16.700000 978.28386 3505.35565 34.6043165 
16.720000 978.25937 3503.79266 34.6034352 
16.740000 978.234938 3502.23218 34.6025494 
16.760000 978.210496 3500.6742 34.6016432 
16.780000 978.186093 3499.11876 34.600749 
16.800000 978.161713 3497.56583 34.599825 
16.820000 978.137319 3496.01538 34.5989787 
16.840000 978.113006 3494.46745 34.5981021 
16.860000 978.088686 3492.92201 34.5972353 
16.880000 978.064406 3491.3791 34.5963316 
16.900000 978.040219 3489.83866 34.5954792 
16.920000 978.015936 3488.30071 34.5945214 
16.940000 977.991657 3486.7653 34.5936027 
16.960000 977.967486 3485.23237 34.5927002 
16.980000 977.943301 3483.70194 34.5918277 
17.000000 977.919137 3482.174 34.5909085 
17.020000 977.895032 3480.64855 34.589988 
17.040000 977.870911 3479.12561 34.5891086 
17.060000 977.846903 3477.60517 34.5882821 
17.080000 977.822748 3476.08721 34.5873053 
17.100000 977.798673 3474.57179 34.5863835 
17.120000 977.774631 3473.05887 34.5855059 
17.140000 977.750603 3471.54846 34.5846057 
17.160000 977.726597 3470.04053 34.5837164 
17.180000 977.702669 3468.53512 34.5828429 
17.200000 977.678679 3467.03216 34.5819654 
17.220000 977.654758 3465.53174 34.5810461 
17.240000 977.630844 3464.03381 34.5801403 
