[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
3.25 0 -0.952415 -0.499743 0.00661194 0.00614766 0.00688306 -1.83828e-05 0.114152 0.117333 0.11088 0.327059 -20.4692
3.25 1 0.952274 0.499768 0.00665528 0.00614476 0.00688141 1.59604e-05 0.114132 0.117318 0.110855 0.32733 20.4691
3.3 0 -0.952196 -0.499728 0.00669901 0.00617652 0.00691531 -1.61319e-05 0.11442 0.117607 0.111141 0.327002 -20.361
3.3 1 0.952116 0.499727 0.00673481 0.00617498 0.00691443 1.73964e-05 0.114409 0.1176 0.111127 0.327194 20.3609
3.35 0 -0.952101 -0.499724 0.00680116 0.00620475 0.00695282 -1.27337e-05 0.114706 0.117924 0.111396 0.328103 -20.254
3.35 1 0.952081 0.499733 0.00682656 0.00620404 0.00695324 1.24341e-05 0.114705 0.117927 0.11139 0.328335 20.2539
3.4 0 -0.95213 -0.499759 0.00697591 0.00623848 0.00698871 -1.4007e-05 0.11501 0.118228 0.111698 0.327749 -20.1479
3.4 1 0.95211 0.499769 0.00700162 0.00623782 0.00698907 1.36211e-05 0.115008 0.118231 0.111692 0.327958 20.1479
3.45 0 -0.951981 -0.499752 0.00710435 0.00626384 0.00702732 -1.25517e-05 0.115287 0.118554 0.111925 0.329697 -20.0433
3.45 1 0.951961 0.499764 0.00713053 0.00626324 0.0070276 1.20898e-05 0.115286 0.118556 0.11192 0.329874 20.0432
3.5 0 -0.951711 -0.499737 0.00720383 0.006287 0.0070638 -1.15538e-05 0.115546 0.118861 0.112132 0.331685 -19.9398
3.5 1 0.951751 0.499745 0.00724398 0.0062865 0.00706629 9.93952e-06 0.115554 0.118882 0.112128 0.332247 19.9398
3.55 0 -0.951382 -0.499722 0.00731617 0.00630801 0.00710039 -1.32946e-05 0.115795 0.119169 0.112319 0.33415 -19.8374
3.55 1 0.95136 0.499737 0.00734378 0.00630757 0.00710046 1.27241e-05 0.115793 0.119169 0.112315 0.334249 19.8374
3.6 0 -0.950807 -0.499748 0.00741796 0.00633066 0.00712564 -1.36882e-05 0.116001 0.119381 0.11252 0.334108 -19.7362
3.6 1 0.950785 0.499764 0.00744647 0.00633031 0.00712559 1.31039e-05 0.116 0.11938 0.112518 0.334165 19.7362
3.65 0 -0.950537 -0.499767 0.00751047 0.00635752 0.00715757 -1.15796e-05 0.116254 0.119647 0.112759 0.334396 -19.6361
3.65 1 0.950637 0.499782 0.00756567 0.0063577 0.00716161 1.07004e-05 0.116273 0.119681 0.112761 0.335099 19.6361
3.7 0 -0.950269 -0.499756 0.00763637 0.00638192 0.0071923 -1.37536e-05 0.116508 0.119938 0.112975 0.33576 -19.537
3.7 1 0.950246 0.499775 0.00766721 0.00638174 0.00719204 1.31902e-05 0.116507 0.119935 0.112974 0.335742 19.537
3.75 0 -0.949939 -0.499728 0.00770218 0.00640689 0.00722389 -1.25808e-05 0.116751 0.120201 0.113196 0.336375 -19.4391
3.75 1 0.949854 0.499752 0.00774872 0.00640708 0.0072208 1.14434e-05 0.116739 0.120175 0.113198 0.335758 19.4391
3.8 0 -0.94967 -0.499738 0.00781753 0.00643335 0.00725624 -1.75721e-05 0.117003 0.120471 0.113428 0.336901 -19.3421
3.8 1 0.949646 0.49976 0.00785134 0.00643332 0.00725577 1.70924e-05 0.117 0.120467 0.113428 0.336815 19.3421
3.85 0 -0.949525 -0.499723 0.00790079 0.00646421 0.00728828 -1.64477e-05 0.117271 0.120736 0.1137 0.336381 -19.2462
3.85 1 0.9495 0.499746 0.00793628 0.00646423 0.00728773 1.60289e-05 0.117269 0.120731 0.113701 0.336273 19.2462
3.9 0 -0.949198 -0.499684 0.00801829 0.00648575 0.00732377 -1.16356e-05 0.117514 0.121028 0.113891 0.338328 -19.1513
3.9 1 0.949173 0.499709 0.00805559 0.00648581 0.00732316 1.12933e-05 0.117512 0.121023 0.113892 0.338204 19.1514
3.95 0 -0.94881 -0.499663 0.00810158 0.00651016 0.00735341 -1.17051e-05 0.117744 0.121273 0.114105 0.338699 -19.0574
3.95 1 0.948723 0.499694 0.00815468 0.00651031 0.00735026 1.04264e-05 0.117731 0.121247 0.114107 0.338096 19.0574
4 0 -0.948484 -0.499635 0.00819395 0.00653331 0.00738696 -1.14411e-05 0.117984 0.121549 0.114308 0.340002 -18.9645
4 1 0.948458 0.499668 0.0082604 0.00653463 0.0073849 1.34508e-05 0.117981 0.121533 0.114319 0.339397 18.9645
4.05 0 -0.948219 -0.49965 0.00831615 0.0065603 0.0074183 -1.88786e-05 0.118231 0.121809 0.114542 0.340243 -18.8725
4.05 1 0.948193 0.499678 0.00835964 0.00656038 0.00741762 1.87898e-05 0.118229 0.121803 0.114542 0.340107 18.8726
4.1 0 -0.947772 -0.499685 0.00843071 0.0065817 0.0074487 -1.955e-05 0.11845 0.122059 0.114728 0.341333 -18.7815
4.1 1 0.947745 0.499714 0.00847643 0.00658175 0.00744805 1.95429e-05 0.118447 0.122053 0.114728 0.341209 18.7815
4.15 0 -0.947323 -0.499698 0.00856615 0.00660256 0.00747969 -1.8955e-05 0.118669 0.122312 0.11491 0.342595 -18.6914
4.15 1 0.947357 0.499727 0.00862892 0.00660215 0.00748199 1.8844e-05 0.118677 0.122331 0.114906 0.343068 18.6915
4.2 0 -0.947305 -0.499687 0.0087236 0.006635 0.00751443 -1.8611e-05 0.118951 0.122595 0.115192 0.342243 -18.6023
4.2 1 0.947216 0.499728 0.00878325 0.00663358 0.00751299 1.71483e-05 0.118939 0.122583 0.11518 0.342252 18.6025
4.25 0 -0.947167 -0.499696 0.00881376 0.00666291 0.00754946 -1.28047e-05 0.119216 0.122879 0.115436 0.342752 -18.514
4.25 1 0.947077 0.499718 0.00887682 0.00666173 0.00754777 1.45413e-05 0.119204 0.122866 0.115425 0.34271 18.5142
4.3 0 -0.946969 -0.499718 0.00893795 0.00668957 0.00758347 -1.80279e-05 0.11947 0.123157 0.115665 0.34346 -18.4267
4.3 1 0.94688 0.49974 0.00900441 0.00668862 0.0075815 1.9767e-05 0.119458 0.123142 0.115656 0.343336 18.4269
4.35 0 -0.94665 -0.499745 0.00904549 0.00671725 0.00761135 -1.91162e-05 0.119702 0.123384 0.115904 0.342885 -18.3402
4.35 1 0.946561 0.499791 0.00910284 0.00671447 0.00761146 1.93455e-05 0.119691 0.123385 0.11588 0.34344 18.3404
4.4 0 -0.946761 -0.499736 0.00911096 0.00674547 0.00765574 -1.97839e-05 0.120005 0.123743 0.116147 0.344973 -18.2544
4.4 1 0.946732 0.499779 0.00918669 0.00674226 0.00765881 1.92813e-05 0.120004 0.123768 0.116119 0.346081 18.2547
4.45 0 -0.94651 -0.499727 0.00917539 0.0067698 0.00769003 -1.62184e-05 0.120249 0.124019 0.116357 0.346028 -18.1695
4.45 1 0.946479 0.499758 0.00923794 0.00676942 0.00768977 1.63982e-05 0.120246 0.124017 0.116354 0.34606 18.1697
4.5 0 -0.946502 -0.499685 0.00926016 0.00680196 0.00772502 -1.30951e-05 0.120528 0.1243 0.116634 0.345738 -18.0855
4.5 1 0.946349 0.499717 0.00935496 0.00680236 0.00771886 1.31425e-05 0.120504 0.12425 0.116638 0.344646 18.0858
4.55 0 -0.946191 -0.499679 0.00936749 0.00682829 0.00775444 -1.38602e-05 0.120759 0.124536 0.11686 0.345666 -18.0024
4.55 1 0.946099 0.499714 0.00946583 0.00682436 0.00775572 1.48136e-05 0.120748 0.124547 0.116826 0.346617 18.0027
4.6 0 -0.945882 -0.499666 0.00946635 0.00685315 0.00778551 -1.03409e-05 0.12099 0.124785 0.117073 0.346097 -17.92
4.6 1 0.94585 0.499697 0.00953581 0.00685262 0.00778536 1.04125e-05 0.120988 0.124784 0.117068 0.346172 17.9202
4.65 0 -0.945512 -0.499647 0.00954447 0.00687554 0.00781685 -7.40053e-06 0.121212 0.125035 0.117264 0.347038 -17.8383
4.65 1 0.94554 0.49969 0.00962077 0.00687732 0.00781655 8.38955e-06 0.121218 0.125033 0.11728 0.346665 17.8386
4.7 0 -0.945203 -0.499674 0.00970154 0.00690044 0.00784771 -1.12619e-05 0.121442 0.125282 0.117476 0.347476 -17.7577
4.7 1 0.945171 0.499703 0.00977522 0.00689989 0.00784758 1.12386e-05 0.121439 0.125281 0.117471 0.347553 17.758
4.75 0 -0.94514 -0.499644 0.00979658 0.00692899 0.00788448 -1.42303e-05 0.121711 0.125576 0.117718 0.348191 -17.6777
