[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
1.9 0 113.699 -2.30999 -1.04303 0.134438 0.125955 0.00768519 0.510287 0.527208 0.492785 0.355421 
1.9 1 -8.75007 -5.37871 1.98825 0.0480548 0.0581353 0.0115495 0.325868 0.362481 0.284583 0.619374 
1.9 2 141.59 1.37881 1.0059 0.145961 0.139458 0.00606271 0.534246 0.546972 0.52121 0.303283 
1.95 0 113.559 -2.21666 -1.23173 0.134494 0.128275 0.00864296 0.51261 0.530226 0.494366 0.361508 
1.95 1 -8.73426 -5.49732 1.78104 0.04706 0.0602125 0.011068 0.327525 0.364721 0.285524 0.622202 
1.95 2 141.319 1.28462 1.14004 0.146266 0.141312 0.00667413 0.536263 0.549378 0.52282 0.307161 
2 0 113.36 -2.10695 -1.40964 0.134509 0.130442 0.00985922 0.514734 0.533933 0.494791 0.375827 
2 1 -8.64301 -5.61619 1.57853 0.0461336 0.0603851 0.0101019 0.326372 0.362275 0.285997 0.613818 
2 2 141.031 1.17925 1.26382 0.14562 0.143905 0.00672562 0.538076 0.550532 0.525324 0.299133 
2.05 0 113.301 -1.98488 -1.57706 0.134103 0.13339 0.00962794 0.517197 0.535502 0.498221 0.366594 
2.05 1 -8.59487 -5.70826 1.37005 0.0465485 0.0597673 0.00978452 0.326061 0.36046 0.287577 0.602914 
2.05 2 141.087 1.06477 1.37946 0.146559 0.14652 0.0070982 0.541368 0.554324 0.528093 0.303977 
2.1 0 113.291 -1.84796 -1.72922 0.133602 0.136815 0.00929748 0.520016 0.537855 0.501544 0.361195 
2.1 1 -8.63212 -5.79653 1.17546 0.0453764 0.0627176 0.00855562 0.328777 0.363945 0.289365 0.606508 
2.1 2 140.685 0.941273 1.48327 0.14614 0.148369 0.00696426 0.542687 0.555531 0.529531 0.302348 
2.15 0 113.068 -1.70165 -1.86853 0.132781 0.139589 0.00933994 0.521891 0.540603 0.502482 0.368861 
2.15 1 -8.41174 -5.87291 0.972546 0.045007 0.0595485 0.00689518 0.323351 0.352982 0.290714 0.567177 
2.15 2 140.88 0.811037 1.57587 0.146743 0.151997 0.00728072 0.546571 0.560554 0.532221 0.313899 
2.2 0 112.839 -1.54742 -1.99498 0.132425 0.14183 0.00924704 0.523694 0.543142 0.503495 0.375053 
2.2 1 -8.62439 -5.93547 0.777355 0.0447715 0.0648256 0.00634323 0.331055 0.36514 0.293031 0.596629 
2.2 2 140.626 0.672754 1.65734 0.146609 0.154182 0.00644702 0.548444 0.561911 0.534638 0.307761 
2.25 0 112.789 -1.38375 -2.10619 0.132354 0.144518 0.00815808 0.526187 0.545182 0.506479 0.370059 
2.25 1 -8.32617 -5.98344 0.584053 0.0433092 0.0616364 0.004614 0.323953 0.35421 0.290562 0.57192 
2.25 2 140.461 0.530319 1.72548 0.146209 0.15709 0.00570794 0.550725 0.564862 0.536216 0.314415 
2.3 0 -8.53489 -6.02408 0.386628 0.0445225 0.0651243 0.00443835 0.33113 0.363428 0.29532 0.582826 
2.3 1 112.704 -1.21415 -2.20167 0.132536 0.14683 0.0072139 0.528551 0.547427 0.508976 0.368167 
2.3 2 140.397 0.383101 1.78116 0.146947 0.159221 0.00478345 0.553325 0.567213 0.539079 0.31103 
2.35 0 -8.19488 -6.05213 0.194037 0.0427608 0.0617069 0.00360969 0.323215 0.353189 0.29016 0.570147 
2.35 1 112.624 -1.03917 -2.28361 0.132612 0.149259 0.00610989 0.530915 0.55002 0.511097 0.369495 
2.35 2 140.092 0.232312 1.82581 0.147413 0.160532 0.00420163 0.554928 0.568791 0.540709 0.310334 
2.4 0 -8.32393 -6.067 0.00571622 0.0423211 0.065787 0.00154437 0.328798 0.36301 0.290585 0.599349 
2.4 1 112.516 -0.859948 -2.34892 0.132878 0.151372 0.00503534 0.533151 0.552547 0.513022 0.371413 
2.4 2 140.097 0.078725 1.85637 0.14778 0.16341 0.0030886 0.557844 0.57271 0.542571 0.320127 
2.45 0 -8.10637 -6.07317 -0.189615 0.0419068 0.0630989 0.000302468 0.324046 0.355255 0.289491 0.579628 
2.45 1 112.428 -0.674969 -2.39961 0.132712 0.154016 0.00371483 0.53547 0.556139 0.51397 0.381969 
2.45 2 139.802 -0.0753433 1.8739 0.147916 0.165062 0.00183078 0.559444 0.574901 0.543549 0.325724 
2.5 0 -8.19568 -6.06798 -0.378595 0.0426425 0.064758 0.000693336 0.32772 0.359944 0.291962 0.584864 
2.5 1 112.114 -0.48958 -2.43451 0.13298 0.15492 0.0020676 0.536563 0.55698 0.515338 0.379392 
2.5 2 139.682 -0.231126 1.87857 0.148942 0.166543 0.000637677 0.561681 0.577177 0.545745 0.325498 
2.55 0 -8.07174 -6.06122 -0.569008 0.0429572 0.0627748 -0.00163552 0.325165 0.354708 0.292654 0.565052 
2.55 1 112.092 -0.301439 -2.45374 0.133648 0.157006 0.000247858 0.539124 0.560373 0.517002 0.385751 
2.55 2 139.477 -0.387075 1.87019 0.149973 0.167572 -0.000782882 0.563512 0.578977 0.547611 0.324678 
2.6 0 -7.98833 -6.04047 -0.758797 0.0423723 0.0629811 -0.00244447 0.324582 0.355716 0.290125 0.578605 
2.6 1 112.068 -0.113885 -2.45641 0.13515 0.158116 -0.00177841 0.54154 0.562589 0.51964 0.383217 
2.6 2 139.308 -0.542283 1.84905 0.151071 0.168696 -0.00177888 0.565479 0.58116 0.549351 0.326297 
2.65 0 -8.11722 -6.00474 -0.949837 0.0448955 0.0631973 -0.00346112 0.328775 0.357295 0.297533 0.553671 
2.65 1 112.061 0.0734871 -2.44386 0.136786 0.159238 -0.00344417 0.544081 0.565251 0.522052 0.383417 
2.65 2 139.121 -0.69559 1.81312 0.151933 0.169957 -0.0032279 0.567353 0.583982 0.550222 0.335079 
2.7 0 -7.90963 -5.96737 -1.13602 0.0441085 0.0610616 -0.00413529 0.324299 0.352183 0.293781 0.551507 
2.7 1 111.751 0.260833 -2.41401 0.137631 0.159422 -0.00475077 0.545026 0.566415 0.522762 0.384967 
2.7 2 139.075 -0.846498 1.76663 0.154218 0.17037 -0.00445211 0.569726 0.585689 0.553302 0.327925 
2.75 0 -7.82281 -5.90892 -1.32121 0.0432686 0.0620758 -0.00604349 0.324568 0.357353 0.288077 0.591723 
2.75 1 111.557 0.443886 -2.37109 0.139735 0.158886 -0.00674396 0.546461 0.567489 0.524592 0.381405 
2.75 2 138.851 -0.994921 1.70535 0.155866 0.170581 -0.00623022 0.571355 0.587987 0.554225 0.333981 
2.8 0 -7.78478 -5.84704 -1.51773 0.0462669 0.0584708 -0.00706001 0.323632 0.351284 0.293385 0.549981 
2.8 1 111.751 0.624666 -2.3102 0.142693 0.159779 -0.00877958 0.549975 0.571815 0.527231 0.387118 
2.8 2 138.887 -1.13858 1.6313 0.15858 0.170936 -0.00740129 0.574035 0.590591 0.556987 0.332504 
2.85 0 -7.83398 -5.77183 -1.69634 0.0480444 0.0586002 -0.00896545 0.326565 0.357004 0.29298 0.571412 
