[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
1.1 2 119.56 -1.11722 2.0955 0.0974329 0.0991398 -0.00376278 0.443365 0.451984 0.434576 0.274858 
1.1 3 -12.5143 -1.4445 4.36633 0.0931472 0.0269536 0.0128091 0.346556 0.437126 0.221636 0.861928 
1.1 4 -0.0489224 0.351562 -2.22656 -0 -0 -0 -0 0 -0 -nan 
1.1 5 148.428 0.835332 -1.28978 0.106536 0.110056 -0.0051601 0.465395 0.476966 0.453528 0.309614 
1.1 6 -0.996265 1.35948 -0.433162 0.106041 0.0469849 -0.0652249 0.391185 0.544261 0.0991502 0.983266 
1.1 7 -1.35988 3.33595 2.29057 0.0133445 0.00873319 0.0024218 0.148586 0.169604 0.124057 0.681894 
1.15 0 -12.415 -1.87794 4.24867 0.0928562 0.0274206 0.0161752 0.34681 0.439628 0.217442 0.869117 
1.15 1 119.541 -1.35148 1.96619 0.0991467 0.0996454 -0.00389382 0.445861 0.454528 0.437022 0.274854 
1.15 2 148.317 0.972432 -1.19405 0.109693 0.109095 -0.00275254 0.467747 0.473629 0.46179 0.222194 
1.15 3 -0.0488404 0.742188 -2.22656 -0 -0 -0 -0 0 -0 -nan 
1.15 4 -0.347224 1.36652 -2.18228 0.0242732 0.00321713 0.00779533 0.165802 0.231711 0.0359248 0.987908 
1.15 5 -1.36113 0.55299 -0.224065 0.114023 0.0233367 0.0438491 0.370621 0.513337 0.105854 0.978508 
1.15 6 -1.34921 3.13425 2.52065 0.0130015 0.00843656 0.00088057 0.146417 0.162268 0.128628 0.609628 
1.2 0 -1.57048 0.146714 -0.663645 0.0212911 0.15091 0.0451267 0.414971 0.574584 0.119397 0.978172 
1.2 1 -12.4883 -2.29924 4.08949 0.0870136 0.0314159 0.0194206 0.344136 0.431568 0.224962 0.853393 
1.2 2 119.708 -1.56955 1.81559 0.101058 0.100589 -0.00454245 0.44905 0.459068 0.438804 0.293824 
1.2 3 148.595 1.09808 -1.08405 0.10936 0.113095 -0.00315789 0.471651 0.479366 0.463807 0.252705 
1.2 4 -0.398348 2.10955 -1.40628 0.00303561 0.0318379 0.00834033 0.186744 0.26107 0.0398702 0.98827 
1.2 5 -1.28796 2.91384 2.74132 0.0160087 0.0062538 0.00131037 0.149206 0.179898 0.11028 0.790072 
1.25 0 119.915 -1.77208 1.64512 0.104238 0.100389 -0.00477316 0.452357 0.463595 0.440833 0.309496 
1.25 1 -12.4146 -2.69729 3.90898 0.0819865 0.0339921 0.0212229 0.340556 0.424323 0.227832 0.843626 
1.25 2 -1.31503 0.362376 -1.3977 0.0732947 0.187303 -0.104637 0.510488 0.706337 0.149276 0.977413 
1.25 3 148.379 1.21019 -0.96489 0.112322 0.112208 -0.00596749 0.473846 0.486277 0.46108 0.317725 
1.25 4 -0.346528 2.10445 -0.430573 0.0119 0.0243513 -0.0165026 0.190398 0.267445 0.0312334 0.993157 
1.25 5 -1.32079 2.70013 2.96168 0.0177972 0.00604702 0.000829755 0.154416 0.188974 0.109441 0.815231 
1.3 0 119.573 -1.95332 1.45645 0.10562 0.0999164 -0.00411913 0.453361 0.464281 0.442172 0.304909 
1.3 1 -12.4325 -3.06837 3.70282 0.0762859 0.0381762 0.0233004 0.338323 0.417926 0.232943 0.830258 
1.3 2 -1.22198 1.36968 -1.82446 0.194267 0.00839118 -0.00360188 0.450175 0.623436 0.129007 0.978356 
1.3 3 148.59 1.30984 -0.831796 0.117329 0.110417 -0.00402727 0.477227 0.48822 0.465974 0.298421 
1.3 4 -0.645955 0.964492 0.201329 0.0560446 0.00511475 0.0150637 0.247304 0.34689 0.0445623 0.991714 
1.3 5 -0.0986372 1.56246 0.195312 0.00152588 -0 -0 0.0390625 0.0552427 0 1 
1.3 6 -1.25926 2.44158 3.13315 0.0163132 0.00613829 0.00126164 0.149838 0.181479 0.1094 0.797874 
1.35 0 119.872 -2.11416 1.25207 0.107758 0.100935 -0.00260187 0.456829 0.466126 0.447339 0.281036 
1.35 1 -12.5072 -3.42311 3.46425 0.0701894 0.0426609 0.0233933 0.335932 0.408821 0.242004 0.805971 
1.35 2 148.862 1.39665 -0.694068 0.117373 0.113623 -0.00171672 0.48062 0.485881 0.475301 0.207545 
1.35 3 -1.15177 0.442698 -0.154429 0.0267185 0.0814395 0.0410624 0.328874 0.454801 0.0973261 0.976834 
1.35 4 -1.61754 2.2248 -1.3352 0.0733602 0.102949 0.0785439 0.419892 0.579792 0.128292 0.975212 
1.35 5 -1.19367 2.14695 3.29925 0.0184002 0.0050577 0.000504454 0.15316 0.191933 0.100386 0.852318 
1.4 0 119.645 -2.25056 1.03418 0.109457 0.10058 -0.00277225 0.458298 0.469577 0.446733 0.308107 
1.4 1 -12.5795 -3.75084 3.21302 0.0649083 0.0463775 0.0223663 0.333595 0.399631 0.250733 0.778689 
