[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
7.8 0 0.955326 -0.357041 0.349488 0.00579208 0.00578834 -0.000327681 0.107612 0.110615 0.104523 0.327298 
7.8 1 0.955393 0.356721 -0.350818 0.00579395 0.00579477 -0.000328747 0.107651 0.110663 0.104553 0.327688 
7.9 0 0.955283 -0.367411 0.338416 0.00583124 0.0057849 -0.000328893 0.107778 0.110795 0.104674 0.327774 
7.9 1 0.955344 0.36712 -0.339828 0.00583028 0.00579334 -0.000322276 0.107813 0.110767 0.104776 0.324408 
8 0 0.955439 -0.377561 0.327171 0.00587658 0.00578185 -0.000332251 0.107974 0.111039 0.10482 0.329968 
8 1 0.955555 0.377256 -0.328496 0.00587733 0.00579172 -0.00033273 0.108023 0.111086 0.104872 0.329762 
8.1 0 0.955206 -0.387326 0.315474 0.00591151 0.00577644 -0.000328995 0.108111 0.111174 0.104958 0.329688 
8.1 1 0.9552 0.387059 -0.317008 0.00591787 0.00577771 -0.000332476 0.108146 0.111244 0.104957 0.331402 
8.2 0 0.954751 -0.396749 0.303631 0.00593707 0.00577289 -0.00032503 0.108213 0.111267 0.105069 0.329108 
8.2 1 0.95517 0.396495 -0.305034 0.00594892 0.00578205 -0.000325004 0.10831 0.111365 0.105166 0.328971 
8.3 0 0.954823 -0.405736 0.291401 0.00597999 0.00576954 -0.000321535 0.108395 0.111473 0.105228 0.330006 
8.3 1 0.954688 0.40552 -0.292893 0.00597953 0.00577417 -0.000323994 0.108414 0.111505 0.105233 0.330669 
8.4 0 0.95473 -0.414496 0.278962 0.00601681 0.00576633 -0.000312712 0.10855 0.11161 0.105401 0.328889 
8.4 1 0.954958 0.414282 -0.280397 0.00602068 0.00577869 -0.000318986 0.108625 0.111722 0.105437 0.330654 
8.5 0 0.954936 -0.422798 0.266196 0.00605559 0.00577136 -0.000309653 0.108752 0.111841 0.105572 0.330081 
8.5 1 0.954668 0.42254 -0.267711 0.00606542 0.00576222 -0.000309886 0.108755 0.111882 0.105535 0.332022 
