t ekin epot bpot nu_top nu_bot nu_vol nu_eps nu_tmp nu_mix 
4.450000 2.45527135e-06 0.0591552974 -0.0591036246 1.00282328 0.999923563 1.00372636 0.000981837298 1.000773 1.00078007 
4.500000 2.59879326e-06 0.0591551754 -0.0590382595 1.00280882 0.999925133 1.00394401 0.00103447565 1.00081327 1.00082125 
4.550000 2.75094649e-06 0.059155042 -0.0589045649 1.00279513 0.999927631 1.00417428 0.00109009826 1.00085584 1.0008579 
4.600000 2.91226058e-06 0.0591548966 -0.0594612632 1.00278218 0.999930905 1.00441892 0.00114887275 1.00090083 1.00090754 
4.650000 3.08329821e-06 0.0591547385 -0.0588670387 1.00276989 0.999935424 1.00467838 0.00121099036 1.00094838 1.00094965 
4.700000 3.26465701e-06 0.059154567 -0.0595533193 1.00275854 0.999940735 1.00495346 0.00127663439 1.00099865 1.00103542 
4.750000 3.45697251e-06 0.0591543812 -0.0592609979 1.00274789 0.999947233 1.00524421 0.00134601553 1.00105179 1.00105775 
4.800000 3.66091903e-06 0.0591541806 -0.059232178 1.00273789 0.999954749 1.00555351 0.00141935483 1.00110797 1.00113079 
4.850000 3.87721307e-06 0.0591539641 -0.0587682563 1.00272893 0.999963258 1.00588159 0.00149687552 1.00116736 1.00117109 
4.900000 4.1066167e-06 0.0591537309 -0.0591086041 1.00272082 0.999973015 1.00622903 0.00157882047 1.00123014 1.00122013 
4.950000 4.34993893e-06 0.05915348 -0.0593860497 1.00271354 0.999983958 1.00659754 0.00166545606 1.00129652 1.00130253 
5.000000 4.60803965e-06 0.0591532103 -0.0588047068 1.00270742 0.999995627 1.00698837 0.00175704519 1.00136671 1.001384 
5.050000 4.88183309e-06 0.0591529209 -0.0591932421 1.00270216 1.00000865 1.00740339 0.00185386639 1.00144092 1.00144686 
5.100000 5.17265618e-06 0.0591526105 -0.0594912313 1.00269743 1.00002402 1.00784427 0.0019567204 1.00151939 1.00155043 
5.150000 5.48118968e-06 0.0591522779 -0.0589434648 1.00269411 1.00004019 1.00831139 0.00206541358 1.00160237 1.00160139 
5.200000 5.80852054e-06 0.0591519218 -0.0591145384 1.00269191 1.00005778 1.00880715 0.00218027766 1.00169011 1.00169809 
5.250000 6.15583614e-06 0.0591515408 -0.0590584366 1.00269059 1.00007725 1.00933321 0.00230175488 1.00178291 1.00177855 
5.300000 6.52437746e-06 0.0591511334 -0.0592304116 1.00269055 1.00009821 1.00989062 0.00243020812 1.00188105 1.00189348 
5.350000 6.91546174e-06 0.059150698 -0.0591858067 1.00269146 1.00012101 1.01048343 0.00256605891 1.00198486 1.00199169 
5.400000 7.33049441e-06 0.059150233 -0.0590907283 1.00269379 1.00014569 1.01111214 0.00270974275 1.00209466 1.00208875 
5.450000 7.77096761e-06 0.0591497366 -0.0587591963 1.00269752 1.00017209 1.01177849 0.00286172275 1.00221081 1.00220422 
5.500000 8.23846554e-06 0.059149207 -0.059102561 1.00270252 1.00020042 1.01248714 0.00302247468 1.00233368 1.00234685 
5.550000 8.73467862e-06 0.059148642 -0.059049108 1.00270866 1.00023165 1.01323876 0.00319253981 1.00246366 1.0024586 
5.600000 9.26139398e-06 0.0591480396 -0.0596754825 1.00271621 1.0002653 1.01403613 0.00337248049 1.00260119 1.00262023 
5.650000 9.82051062e-06 0.0591473976 -0.0590584676 1.0027256 1.00030058 1.0148813 0.00356283891 1.0027467 1.00273844 
5.700000 1.0414064e-05 0.0591467135 -0.0596971011 1.00273624 1.00033841 1.01577974 0.00376425493 1.00290067 1.0029472 
5.750000 1.10442024e-05 0.0591459848 -0.0590298751 1.00274847 1.00037914 1.01673401 0.00397739098 1.0030636 1.00305819 
5.800000 1.17132143e-05 0.0591452087 -0.0599000775 1.00276253 1.0004227 1.01774687 0.00420293451 1.00323602 1.00325415 
5.850000 1.24235338e-05 0.0591443824 -0.0588998302 1.00277828 1.00046954 1.01882247 0.00444162288 1.0034185 1.00341314 
5.900000 1.31777489e-05 0.0591435028 -0.0587806709 1.00279595 1.00051974 1.01996356 0.00469424248 1.00361163 1.00359202 
5.950000 1.39786111e-05 0.0591425666 -0.0592385528 1.0028158 1.0005725 1.02117483 0.00496161403 1.00381604 1.00381545 
6.000000 1.48290468e-05 0.0591415704 -0.0587615646 1.00283762 1.00062863 1.0224603 0.00524463446 1.00403242 1.00401267 
6.050000 1.573216e-05 0.0591405105 -0.0592146929 1.00286175 1.00068796 1.02382602 0.00554419118 1.00426148 1.00426586 
6.100000 1.66912663e-05 0.0591393831 -0.0596039927 1.00288811 1.00075117 1.02527938 0.00586127015 1.00450397 1.00454786 
6.150000 1.7709888e-05 0.0591381837 -0.0589418811 1.00291641 1.00082065 1.02681911 0.00619701347 1.00476069 1.00474495 
6.200000 1.87917607e-05 0.0591369082 -0.0592354855 1.00294787 1.00089258 1.02845395 0.0065524322 1.00503251 1.00504608 
6.250000 1.99408778e-05 0.0591355517 -0.0589029575 1.00298183 1.00096876 1.03019239 0.00692869943 1.00532029 1.00529044 
6.300000 2.11614655e-05 0.0591341094 -0.0588564791 1.00301785 1.00105147 1.03203883 0.00732716237 1.00562506 1.00559874 
6.350000 2.24580204e-05 0.0591325757 -0.0587492942 1.00305727 1.00113903 1.03399738 0.00774912824 1.00594779 1.00591002 
6.400000 2.38353293e-05 0.0591309453 -0.0599092409 1.00310011 1.00123053 1.0360778 0.00819588797 1.00628957 1.00635551 
6.450000 2.52984777e-05 0.059129212 -0.0589826259 1.00314561 1.00132822 1.03828851 0.00866903309 1.00665154 1.00663701 
6.500000 2.68528996e-05 0.0591273695 -0.0605526121 1.0031946 1.00143213 1.04063712 0.0091701253 1.00703493 1.00720223 
6.550000 2.85043453e-05 0.0591254109 -0.0589048713 1.00324734 1.00154225 1.0431335 0.00970086229 1.00744102 1.00740812 
6.600000 3.02589398e-05 0.0591233289 -0.0591555912 1.00330442 1.00165874 1.04578274 0.0102629519 1.00787118 1.00786652 
6.650000 3.21232017e-05 0.0591211161 -0.0588429829 1.00336467 1.00178313 1.04859907 0.0108583507 1.00832684 1.00828092 
6.700000 3.41040602e-05 0.0591187641 -0.0588144037 1.00342906 1.00191591 1.05158979 0.0114890568 1.00880957 1.00876273 
6.750000 3.62088717e-05 0.0591162644 -0.058945467 1.00349809 1.00205567 1.05476673 0.0121571681 1.00932101 1.00928503 
6.800000 3.84455081e-05 0.0591136078 -0.0595365685 1.00357164 1.00220402 1.05814341 0.0128650109 1.00986289 1.00993432 
6.850000 4.08222936e-05 0.0591107843 -0.059048963 1.00365092 1.00236034 1.06173184 0.0136149406 1.01043706 1.01041582 
6.900000 4.33481001e-05 0.0591077836 -0.0590438734 1.0037355 1.00252651 1.06554429 0.0144094202 1.01104548 1.01103706 
6.950000 4.60323671e-05 0.0591045945 -0.0589224849 1.00382522 1.00270364 1.06959139 0.0152512075 1.01169022 1.01163938 
7.000000 4.88851301e-05 0.0591012055 -0.0591811333 1.0039199 1.0028912 1.07389386 0.016143172 1.01237349 1.01237226 
7.050000 5.19170661e-05 0.059097604 -0.0589831808 1.00402074 1.00309001 1.07846471 0.0170883717 1.01309764 1.01305506 
7.100000 5.51395293e-05 0.0590937765 -0.0595632743 1.0041279 1.00330041 1.08332603 0.018089989 1.01386513 1.01396722 
7.150000 5.85646005e-05 0.059089709 -0.0589493476 1.00424248 1.00352384 1.08849064 0.0191515383 1.01467862 1.01462793 
7.200000 6.2205124e-05 0.0590853862 -0.0594300999 1.00436475 1.00376015 1.09397603 0.0202765317 1.01554091 1.01562286 
7.250000 6.60747671e-05 0.0590807924 -0.0589013593 1.00449456 1.00401002 1.09980539 0.0214687247 1.01645496 1.0163705 
7.300000 7.01880714e-05 0.0590759105 -0.0595367269 1.00463109 1.00427579 1.10600707 0.0227324612 1.01742394 1.0175332 
7.350000 7.45608394e-05 0.0590707221 -0.0590599394 1.00477731 1.00455831 1.11259138 0.0240728011 1.01845119 1.01841119 
7.400000 7.92091783e-05 0.0590652083 -0.0598424988 1.00493183 1.00485709 1.11958851 0.0254932794 1.01954025 1.01973441 
7.450000 8.41505851e-05 0.0590593487 -0.0590282788 1.00509519 1.00517397 1.12702873 0.0269990849 1.02069491 1.0206351 
7.500000 8.94036553e-05 0.0590531213 -0.0590464864 1.00526949 1.00550958 1.13493407 0.0285953031 1.02191918 1.02186965 
7.550000 9.49876926e-05 0.0590465031 -0.0592133338 1.00545377 1.00586617 1.14333168 0.0302864099 1.02321731 1.02321299 
7.600000 0.000100924699 0.0590394698 -0.0591614389 1.00565034 1.00624094 1.1522589 0.0320805235 1.02459383 1.02455239 
7.650000 0.000107236566 0.059031995 -0.0591836911 1.00585706 1.00663924 1.1617543 0.0339824192 1.02605351 1.02603099 
7.700000 0.000113947091 0.0590240507 -0.0596374685 1.00607681 1.00706279 1.17183932 0.0359991636 1.02760144 1.02780718 
7.750000 0.000121081553 0.0590156077 -0.0592093751 1.00631021 1.00751084 1.18256124 0.0381373217 1.02924304 1.02925091 
7.800000 0.000128666867 0.0590066345 -0.0591276936 1.00655746 1.00798584 1.19395636 0.0404043578 1.03098402 1.03094271 
